"RATING_ID","USER_ID","MOVIE_ID","STARS","COMMENT_TEXT","RATED_AT"
11,2,1,4,"Very good!",2025-10-29
1,1,1,5,"Amazing movie!",2025-10-27
2,2,2,4,"Great effects!",2025-10-27
3,3,3,5,"Incredible story",2025-10-26
4,4,4,4,"Loved the visuals",2025-10-25
5,5,5,5,"Dark and deep",2025-10-25
6,6,6,5,"Joaquin Phoenix is brilliant",2025-10-24
7,7,7,4,"Mind-blowing concept",2025-10-23
8,8,8,5,"Stunning visuals and sound",2025-10-22
9,9,9,5,"A classic!",2025-10-21
10,10,10,4,"Powerful and emotional",2025-10-20
